,SITE_ID,SITE_NAME,Biome,koeppen_climate,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,GrowSeas_length_days,MeanPrec_Annual_mmday,MeanPrec_GrowSeas_mmday,MeanAnnualTemp_degC,AridityIndex_annual,AridityIndex_GrowSeas,RainFreq_annual_perday,RainFreq_GrowSeas_perday,Dmax_annual_days,Dmean_annual_days,Dmax_GrowSeas_days,Dmean_GrowSeas_days,GPP_model_R2,N_drydowns_used,Total_drydown_days_used,Tau_days,Tau_95ci_low_days,Tau_95ci_high_days,ET_norm_predict_R2,g_norm_predict_R2,soil_mois_model_cor,a_slope_relative_standard_error,Water_limited_fraction_of_drydowns,N_years_of_data
0,AT-Neu,Neustift,Grassland,Dfc - Snow fully humid cool summer,47.11667,11.3175,970.0,100,1.830288700846192,3.0540063006300633,6.786666749626679,0.9141213670899148,1.1687336114175837,0.4260826281732205,0.531953195319532,24.09090909090909,6.625186660029866,12.090909090909092,4.693969396939694,0.33943935679430715,24,135,29.971619902945296,21.202509644430506,51.11020247377025,0.8838678912837888,0.8336982176238165,-0.22270658316793768,0.2067941579929494,0.6666666666666666,11
1,AU-ASM,Alice Springs,Savanna,BSh - Arid Steppe hot,-22.283,133.249,,111,1.068183461117196,1.6482142857142859,22.410815991237676,4.338156916130648,3.169810004638325,0.16593647316538881,0.23214285714285715,82.33333333333333,42.47754654983571,28.0,15.102678571428573,0.859021025732363,22,269,16.262727433841157,14.768119258938029,18.09392380795468,0.44434447954186207,0.42249407255161253,0.8072640426259019,0.050602522524950316,0.9565217391304348,4
2,AU-Cpr,Calperum,Savanna,BSk - Arid Steppe cold,-34.0021,140.5891,,364,0.9218028477546549,1.0213445205479452,17.84856462212486,3.872376970230182,3.522467454842124,0.22453450164293537,0.22054794520547946,26.833333333333332,11.768893756845564,28.0,11.863013698630137,0.7819855738316677,71,654,19.106795751414314,16.982503798066766,21.838511579211602,-0.38161559121081545,0.613677025658814,0.44951309262725275,0.062543544185439,0.8554216867469879,4
3,AU-DaP,Daly River Savanna,Grassland,Aw - Equatorial savannah with dry winter,-14.0633,131.3181,,83,3.759465780211185,8.405593253968254,25.458092295658975,1.1590744092236775,0.5534279061988702,0.35471255377395383,0.5634920634920635,71.75,31.131403989049666,15.166666666666666,5.686507936507937,0.7451401754005235,9,75,47.38023542434541,40.8918617944012,56.31597672587639,0.9098042266263946,0.9216841463967899,0.41062112848993026,0.07933575710696264,0.75,5
4,AU-DaS,Daly River Cleared,Savanna,Aw - Equatorial savannah with dry winter,-14.1593,131.3881,,147,3.974124364489637,8.447682432432433,26.631307000391082,1.1944609479623878,0.6732085740141505,0.3277278060226828,0.6204954954954955,100.375,47.63824794681267,14.0,4.051801801801802,0.41167046186240597,22,159,39.02271833888865,28.095345873740047,63.86058171059145,0.7305963628298826,0.7214831991583466,0.3665885869499351,0.19446944191852994,0.8148148148148148,5
5,AU-Dry,Dry River,Savanna,Aw - Equatorial savannah with dry winter,-15.2588,132.3706,,135,2.5194266718811105,4.688200980392157,26.80809620649198,1.9034719276738798,1.1429693741875886,0.27023856081345327,0.43504901960784315,132.125,81.41611263199061,31.5,12.04656862745098,0.6436622745502851,22,230,48.44193966489094,39.27182198441098,63.19918672680394,0.7384520263807106,0.725752765382226,0.42041164565183725,0.11675187471719613,0.8461538461538461,5
6,AU-GWW,"Great Western Woodlands, Western Australia, Australia",Savanna,,-30.1913,120.6541,,219,0.9994547945205481,1.1645454545454548,19.883387671232875,4.047764688249965,4.3745118426833836,0.21232876712328766,0.17727272727272728,25.0,12.276712328767124,28.0,13.554545454545455,0.5916560070140249,14,147,14.086536760511429,10.908000061575688,19.87925120309603,0.15713931647801338,0.6657790739384886,0.7822234565570552,0.14569750096227052,0.875,1
7,AU-Gin,Gingin,Savanna,"Csa - Warm temperate with dry, hot summer",-31.3764,115.7138,,225,1.6977707049965778,1.0415309734513274,19.20565776865161,2.7928852365080523,5.620088105204514,0.351129363449692,0.2581120943952802,38.0,11.321697467488022,46.0,16.690265486725664,0.7750447997588336,21,268,48.68263195352248,39.495062221373274,63.4405363224363,0.3740433759055548,0.6743943021858108,0.8077764819350233,0.11631289097168747,0.6363636363636364,3
8,AU-RDF,"Red Dirt Melon Farm, Northern Territory",Savanna,,-14.5636,132.4776,,148,3.915045620437956,6.116020134228188,26.23044981751825,1.1433608185917514,0.9099610973026722,0.28832116788321166,0.47315436241610737,107.5,61.31386861313869,17.5,5.174496644295302,0.7697725117055383,13,65,33.68459605123717,25.458502786243518,49.764333964233124,-3.214188241972228,0.28049229711906265,-0.0034264378840500372,0.1615588578413695,0.8125,2
9,AU-Stp,Sturt Plains,Grassland,BSh - Arid Steppe hot,-17.1507,133.3502,,91,1.9944141572154872,4.019644927536232,26.149317950723503,2.0199626826845356,1.2073431235786338,0.2174423152131404,0.37318840579710144,103.25,55.62260461478295,24.166666666666668,11.445652173913045,0.1338605608161486,22,178,17.688834713811517,14.794251076502237,21.991628198361177,0.7578949526782648,0.874281982637272,0.7939412522987244,0.09782798812664328,0.9166666666666666,6
