,SITE_ID,SITE_NAME,Biome,koeppen_climate,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,GrowSeas_length_days,MeanPrec_Annual_mmday,MeanPrec_GrowSeas_mmday,MeanAnnualTemp_degC,AridityIndex_annual,AridityIndex_GrowSeas,RainFreq_annual_perday,RainFreq_GrowSeas_perday,Dmax_annual_days,Dmean_annual_days,Dmax_GrowSeas_days,Dmean_GrowSeas_days,GPP_model_R2,N_drydowns_used,Total_drydown_days_used,Tau_days,Tau_95ci_low_days,Tau_95ci_high_days,ET_norm_predict_R2,g_norm_predict_R2,soil_mois_model_cor,a_slope_relative_standard_error,N_years_of_data
0,AT-Neu,Neustift,Grassland,Dfc - Snow fully humid cool summer,47.11667,11.3175,970.0,100,1.830288700846192,3.0574196185286104,6.786666749626679,0.9141213670899148,1.167766760505076,0.4260826281732205,0.5277020890099909,24.09090909090909,6.625186660029866,12.090909090909092,4.712252475247524,0.3492738076841879,20,114,41.70160693211219,25.597973749254912,112.43294171771839,0.7551733003034433,0.821077164788831,-0.5171365681198916,0.31454898228665484,9
1,AU-ASM,Alice Springs,Savanna,BSh - Arid Steppe hot,-22.283,133.249,,111,1.068183461117196,1.6630630630630632,22.410815991237676,4.338156916130648,3.1403512111568483,0.16593647316538881,0.23423423423423423,82.33333333333333,42.47754654983571,27.75,14.887400793650794,0.7969696867302601,22,268,17.201557985719397,15.561243085607275,19.2284323071111,0.4362425459273752,0.4182321094338376,0.8142470212293698,0.05270513708603589,4
2,AU-Cpr,Calperum,Savanna,BSk - Arid Steppe cold,-34.0021,140.5891,,364,0.9218028477546549,0.9665165165165166,17.84856462212486,3.872376970230182,3.727637600110523,0.22453450164293537,0.21846846846846846,26.833333333333332,11.768893756845564,27.75,11.870899509573292,0.7696040031409477,71,652,20.426296924627742,18.161143678977503,23.337011608906227,-0.25463424158321213,0.6312566068919794,0.4036873420499725,0.06236262665198431,4
3,AU-Cum,Cumberland Plain,Evergreen broadleaf forest,Cfa - Warm temperate fully humid with hot summer,-33.61518,150.72362,,81,1.6830155109489051,2.1780487804878046,18.084260948905108,2.4981221308490484,1.8919590047001036,0.38047445255474455,0.40853658536585363,22.5,8.417883211678832,18.5,7.609756097560975,0.018727095195934074,6,42,22.593412769917755,16.010395853488117,38.370101015638525,0.8113678920114777,0.7023865850055688,0.4009539933179206,0.20558570121161077,2
4,AU-Dry,Dry River,Savanna,Aw - Equatorial savannah with dry winter,-15.2588,132.3706,,135,2.5194266718811105,4.559687500000001,26.80809620649198,1.9034719276738798,1.1788445767489022,0.27023856081345327,0.3694852941176471,132.125,81.41611263199061,30.2,14.379541932878022,0.6506242267539832,18,194,55.405084580123365,44.37261161642066,73.73899446720901,0.7160019926150596,0.7218108932910636,0.5327788339392768,0.12431624556013272,4
5,AU-GWW,"Great Western Woodlands, Western Australia, Australia",Savanna,,-30.1913,120.6541,,219,0.9994547945205481,1.16986301369863,19.883387671232875,4.047764688249965,4.354627697943915,0.21232876712328766,0.1780821917808219,25.0,12.276712328767124,28.0,13.529680365296803,0.5589774568191263,14,146,15.061139018656695,11.673236169139274,21.219693397807955,0.1805063155967518,0.682910417500592,0.7858267976848441,0.14511412261468998,1
6,AU-Gin,Gingin,Savanna,"Csa - Warm temperate with dry, hot summer",-31.3764,115.7138,,225,1.6977707049965778,0.8091575091575092,19.20565776865161,2.7928852365080523,7.2437710928705465,0.351129363449692,0.2216117216117216,38.0,11.321697467488022,46.666666666666664,18.967472820486183,0.798072913814346,18,220,45.28984490357144,36.07825608649571,60.818061509569546,0.48248580534096686,0.7397170500625581,0.8036292717622973,0.12766122612733044,3
7,AU-TTE,Ti Tree East,Grassland,BWh - Arid desert hot,-22.287,133.64,,61,0.7622235401459854,0.6629032258064516,24.30718613138686,5.128092199476046,7.528128282195819,0.13686131386861314,0.1774193548387097,76.0,39.416058394160586,12.5,8.67741935483871,0.92002110021778,10,72,16.417130330823852,13.896295594340597,20.055213475624793,-1.7510482430278995,-1.273890814684005,0.9728303121410117,0.09070168086773756,2
8,CA-NS1,UCI-1850 burn site,Evergreen needleleaf forest,Dfc - Snow fully humid cool summer,55.87917,-98.48389,260.0,65,0.7778636363636363,1.0856818181818182,0.9334151150054766,3.713195584775327,4.741880781020394,0.511500547645126,0.4090909090909091,27.6,8.74370208105148,7.0,3.9793281653746773,0.13017269629587158,4,18,8.218314603157413,4.697040745725685,32.83113254552872,0.9090766067296326,0.795272849869321,0.29044850753721235,0.3748396115826856,2
9,CA-NS6,UCI-1989 burn site,Shrubland,Dfc - Snow fully humid cool summer,55.91667,-98.96444,244.0,62,0.6975175246440306,1.1063060344827587,-0.3997305585980288,3.143082636360005,4.340274910937423,0.3307776560788609,0.375,55.6,19.615553121577218,8.25,4.2818004646529815,0.600690366797789,11,41,14.970711004839218,10.107626660622849,28.85253822962287,0.9059439792169526,0.9052546350431562,0.5054588246114289,0.24056509542254403,4
